ID_Estudiante,Numero_Documento,Fecha_Nacimiento,Sexo,Estrato,Municipio_Residencia,Tipo_Sangre,EPS,Semestre_Actual,Creditos_Aprobados
5902496,1086465042,2002-03-06,Femenino,1,Abejorral,AB-,Salud Total,3,52
2170313,1040696225,1996-02-04,Femenino,3,Abejorral,O-,Sanitas,8,125
8631641,1058489248,2008-03-14,No binario,5,Rionegro,A-,Salud Total,1,16
5348849,1050776455,2005-12-10,Femenino,2,Santuario,AB-,Savia Salud,5,85
9433187,1039560645,2003-09-08,Femenino,1,Guarne,O-,Coosalud,8,142
8730007,1056838566,1999-04-03,Femenino,3,Marinilla,AB-,Salud Total,10,166
8338996,1038952997,2003-11-16,Femenino,4,Rionegro,A+,Coosalud,7,117
8324619,1024432315,2002-04-30,Masculino,4,Rionegro,O+,Coosalud,5,86
3591209,1042496663,1997-11-08,Masculino,5,La Union,A+,Coosalud,9,149
4875994,1099826007,2001-07-24,Masculino,4,El Carmen de Viboral,B+,Sura,8,136
1429811,1012616789,1997-03-22,Femenino,1,Santuario,AB-,Savia Salud,7,106
1443305,1045052130,1996-06-01,Femenino,3,La Union,A+,Salud Total,7,116
7785622,1051083669,1995-01-02,Masculino,6,Guarne,A+,Nueva EPS,7,116
2027264,1095741872,2005-11-07,Masculino,4,La Union,B+,Salud Total,9,137
8197623,1072924489,1999-02-23,Femenino,1,El Retiro,AB-,Sura,10,158
9763979,1073835546,2001-09-18,Masculino,4,El Carmen de Viboral,A-,Nueva EPS,2,32
5616204,1087649488,2000-08-28,Masculino,1,El Carmen de Viboral,O-,Sura,9,147
5989312,1024643507,1993-06-18,Masculino,5,Santuario,A-,Salud Total,7,103
8049581,1078494568,1993-03-08,Masculino,1,Guarne,B-,Nueva EPS,2,27
2967428,1054480380,2006-05-09,Masculino,1,Marinilla,O-,Savia Salud,8,140
9103476,1016857408,2007-08-18,Femenino,5,Rionegro,O-,Sura,2,40
7780349,1096490090,2002-03-19,Masculino,2,Guarne,B+,Sura,7,108
5999064,1030125287,2002-06-16,Masculino,5,Rionegro,B+,Sanitas,2,23
8134951,1057863153,2001-08-08,Masculino,1,Rionegro,AB+,Coosalud,9,152
8469785,1047676813,2008-11-04,Femenino,2,Santuario,O-,Sanitas,6,96
6750659,1080755597,1991-05-03,Masculino,1,Abejorral,O+,Salud Total,9,152
4420829,1080379361,1992-11-14,Femenino,5,Rionegro,AB-,Nueva EPS,5,90
1747857,1052969869,2001-04-15,Femenino,3,Guarne,B-,Sanitas,7,110
8472639,1072688163,1994-01-06,Femenino,1,El Carmen de Viboral,A-,Sura,4,67
3236705,1099186939,1991-12-06,Masculino,1,La Union,O-,Nueva EPS,7,102
3371717,1097423266,2005-06-08,Masculino,3,Santuario,B-,Savia Salud,6,106
2387251,1066350610,1999-10-05,Femenino,4,La Union,AB+,Nueva EPS,4,75
5690925,1082846160,1992-06-29,Femenino,3,Abejorral,AB+,Sanitas,5,82
4338878,1078460092,1992-02-04,Masculino,4,Guarne,AB+,Nueva EPS,5,74
9002034,1099785169,2003-12-04,Femenino,5,Santuario,A+,Coosalud,3,41
8798512,1070271643,1999-03-24,Masculino,1,El Carmen de Viboral,AB+,Sanitas,1,24
7248728,1059693597,1999-10-17,Femenino,4,El Retiro,O-,Salud Total,5,82
3613312,1019306917,1998-09-16,Femenino,6,Guarne,B+,Sura,8,135
1161176,1098352402,1998-04-07,Femenino,1,Marinilla,O-,Savia Salud,6,108
3627286,1046131704,2008-02-10,Femenino,4,Santuario,B-,Savia Salud,5,90
9532522,1090098149,2006-12-21,Femenino,6,Guarne,B+,Nueva EPS,4,55
2183597,1096219191,1998-11-14,Femenino,3,Abejorral,B+,Sanitas,5,70
4801998,1018214248,2009-03-07,Femenino,3,Rionegro,B+,Nueva EPS,6,101
2767546,1047908861,2003-12-18,Femenino,1,Rionegro,B-,Salud Total,3,53
5448012,1045326881,1997-01-20,Masculino,4,La Union,B-,Nueva EPS,8,123
3385864,1098991608,2003-05-30,Femenino,6,Marinilla,O+,Sanitas,1,21
1683255,1041104348,2005-05-12,Masculino,1,Marinilla,A+,Salud Total,1,10
1193182,1045400667,1996-08-24,Femenino,3,Rionegro,AB-,Sanitas,1,11
7003084,1083596150,2006-12-27,Femenino,5,Rionegro,O+,Savia Salud,8,120
1931288,1029410630,1991-06-12,Masculino,3,Rionegro,B+,Salud Total,9,139
7061535,1058510950,2001-07-31,Femenino,4,La Ceja,O+,Sanitas,5,80
6807284,1097145616,1997-10-29,Masculino,4,El Carmen de Viboral,B+,Nueva EPS,4,61
1979200,1063986762,2004-06-19,Masculino,5,La Union,B+,Savia Salud,7,123
3682537,1020318836,1998-12-22,Masculino,2,Santuario,O-,Sanitas,9,159
6422186,1036629889,2003-07-11,Masculino,6,La Union,O+,Nueva EPS,5,74
9082691,1043521638,1996-09-22,Femenino,5,El Carmen de Viboral,B-,Savia Salud,10,167
1543694,1062568668,2008-06-17,Masculino,3,Rionegro,O+,Sura,9,136
5309653,1046220141,1997-09-02,Masculino,2,Guarne,O-,Salud Total,6,91
1463367,1078931159,1992-12-02,Masculino,4,Rionegro,B+,Savia Salud,7,111
6146470,1069040293,2004-12-21,Masculino,2,La Ceja,B-,Nueva EPS,1,19
4373385,1098012393,2000-05-31,Femenino,6,La Union,B+,Coosalud,5,78
8450816,1014474246,1999-12-04,Masculino,5,El Carmen de Viboral,B+,Salud Total,3,46
3872128,1047489810,2006-03-21,Masculino,4,Rionegro,B-,Coosalud,4,60
1103361,1014878113,1993-06-01,No binario,5,Abejorral,B+,Coosalud,9,139
3959156,1057094120,1996-09-05,Femenino,6,Abejorral,A+,Sanitas,1,1
2966935,1064864459,1998-06-27,Femenino,1,El Retiro,A+,Sanitas,10,170
2348706,1017303761,2006-03-12,Femenino,3,Abejorral,AB-,Savia Salud,6,103
4897701,1070815732,2001-11-29,Femenino,6,Santuario,B+,Salud Total,8,119
4888411,1045427473,1998-09-24,Femenino,2,Santuario,A+,Coosalud,9,143
6017520,1068535677,1993-08-13,Femenino,5,La Union,O-,Sura,2,31
8699483,1043693201,2002-04-07,Masculino,4,Abejorral,AB-,Nueva EPS,1,22
8080011,1057126340,2002-06-24,Masculino,6,El Retiro,B-,Coosalud,4,61
6517504,1050709468,1994-04-17,Masculino,2,Marinilla,A+,Nueva EPS,10,170
6147825,1068575381,2008-12-11,Femenino,3,El Retiro,O-,Nueva EPS,7,112
2871782,1064776741,2006-01-22,Femenino,3,Guarne,O-,Sura,5,78
8748004,1088768553,2003-09-16,Masculino,6,El Carmen de Viboral,A+,Sanitas,8,125
3483169,1088145323,1991-12-16,Masculino,2,Marinilla,A-,Savia Salud,4,67
9575902,1029374389,1991-11-23,Masculino,6,El Carmen de Viboral,B-,Nueva EPS,9,159
4455580,1079721175,2002-10-23,Femenino,6,Marinilla,B-,Savia Salud,9,155
2118348,1044464376,2006-03-24,Femenino,4,Marinilla,O-,Savia Salud,8,140
9338427,1046053932,1992-06-02,Masculino,4,Guarne,B+,Sura,6,88
8613037,1042149069,1992-05-10,Masculino,6,Guarne,O+,Salud Total,6,94
9155372,1072406432,1993-07-18,Femenino,1,El Carmen de Viboral,A+,Coosalud,5,86
6917549,1079534707,1991-06-02,Femenino,6,El Carmen de Viboral,AB-,Nueva EPS,7,103
3005173,1073020929,2002-04-06,Femenino,2,Rionegro,A-,Savia Salud,6,104
4421252,1077568054,2000-09-27,Masculino,6,El Carmen de Viboral,AB-,Nueva EPS,4,68
6589730,1065544738,1993-01-11,Femenino,5,Marinilla,A+,Sura,8,137
7399409,1098566397,2004-02-26,Masculino,1,Marinilla,O+,Sura,10,159
7620412,1039590174,2008-12-23,Femenino,3,Santuario,B-,Nueva EPS,7,108
1849129,1082680688,2003-02-13,Masculino,2,Guarne,AB-,Sura,2,29
8823259,1038210479,1993-04-24,Femenino,5,Abejorral,A+,Nueva EPS,8,131
5742903,1056116756,2003-10-31,Masculino,5,La Ceja,B-,Salud Total,4,52
1254154,1011207118,1992-04-02,Femenino,2,La Ceja,AB+,Savia Salud,9,149
4407679,1052184189,1991-08-10,Femenino,1,Marinilla,B+,Coosalud,3,46
2667599,1043119143,2004-08-18,Femenino,5,El Retiro,A-,Sura,4,62
8117784,1075081282,1996-08-14,Masculino,3,La Ceja,O-,Coosalud,2,24
8599836,1039717659,2006-07-16,Femenino,1,El Retiro,B-,Coosalud,4,73
8587173,1031206083,1991-09-24,Masculino,4,Guarne,A+,Coosalud,7,124
7402863,1041504305,1994-10-20,Femenino,5,Abejorral,AB+,Nueva EPS,4,70
8066525,1060399521,1991-12-11,Masculino,3,Rionegro,A+,Nueva EPS,3,53
9149068,1090871054,2009-01-08,Masculino,3,Santuario,B-,Nueva EPS,6,97
8085688,1012558499,1998-05-27,Masculino,5,Santuario,O-,Savia Salud,7,114
9654035,1089012781,2003-07-07,Masculino,4,Santuario,B+,Nueva EPS,3,55
6572454,1043285603,2005-04-19,Masculino,5,El Retiro,AB+,Nueva EPS,2,39
3517504,1077508093,2003-01-31,Femenino,6,El Carmen de Viboral,A+,Savia Salud,1,15
8568685,1047123389,2004-05-27,Masculino,6,Marinilla,AB+,Sura,2,18
7780481,1017818291,2001-01-19,Femenino,5,Guarne,B-,Nueva EPS,8,142
1825659,1096791779,1998-05-30,Masculino,2,Santuario,AB-,Savia Salud,7,108
4448323,1065805097,2005-02-01,Femenino,4,Rionegro,AB-,Sura,7,116
6637199,1077222507,2001-04-29,No binario,5,Rionegro,B-,Sura,7,104
8357534,1018747793,1999-09-08,Masculino,3,El Retiro,B+,Coosalud,3,35
1223511,1055670300,2004-09-21,No binario,4,Rionegro,O+,Coosalud,9,158
3929427,1099493819,1992-03-23,Femenino,3,Marinilla,A+,Sanitas,10,170
4676324,1019372387,2002-10-20,Femenino,1,Guarne,B-,Sanitas,7,115
7574219,1034736560,2005-02-11,Masculino,2,Marinilla,B+,Coosalud,4,75
1659260,1095807703,2002-01-30,Femenino,3,El Retiro,A-,Savia Salud,2,23
1116893,1085326185,2002-05-29,Masculino,4,Santuario,O-,Salud Total,9,150
8395308,1054397141,2003-01-01,Masculino,5,La Ceja,AB+,Sura,3,43
8260859,1061525553,2002-07-28,Masculino,4,El Carmen de Viboral,O+,Savia Salud,4,57
5275394,1089962818,1997-07-26,Masculino,6,La Union,AB+,Savia Salud,10,156
5029253,1097400192,2001-11-12,Femenino,6,La Union,AB+,Savia Salud,2,17
5359542,1087616187,2007-10-17,Masculino,3,Santuario,O+,Sanitas,2,33
6719271,1039388493,1998-10-15,Masculino,4,Guarne,AB-,Nueva EPS,7,107
7062469,1055780662,1991-06-21,Femenino,1,Rionegro,O+,Salud Total,6,108
2956636,1084039646,2005-01-30,Femenino,6,Guarne,A+,Sanitas,1,12
5436189,1086714626,2002-06-06,Masculino,2,El Retiro,B+,Savia Salud,5,91
3487902,1091741715,2007-07-18,Femenino,6,Abejorral,A+,Nueva EPS,7,107
4898708,1092183559,2009-01-09,Femenino,4,Marinilla,A+,Sanitas,4,59
7590401,1080225716,1999-08-25,Femenino,3,La Union,B+,Salud Total,3,48
9681807,1091472784,1999-10-24,Masculino,2,El Carmen de Viboral,AB-,Sanitas,5,88
6629527,1093491048,2004-01-04,Femenino,2,La Union,B+,Coosalud,4,66
7897199,1026492529,2000-08-12,Masculino,3,Abejorral,B+,Sanitas,1,1
1895204,1020452751,2001-08-09,Femenino,3,Marinilla,B-,Sura,6,93
6156922,1077507158,2003-07-15,Femenino,2,Rionegro,A-,Nueva EPS,7,108
6277000,1093288357,1996-03-21,Masculino,4,El Carmen de Viboral,AB-,Sura,7,116
6446035,1052624570,1999-06-30,No binario,2,Marinilla,A-,Salud Total,4,58
2839568,1080116474,2007-02-27,Masculino,2,Abejorral,A-,Sanitas,1,13
6617996,1084127680,2008-05-16,Masculino,4,Rionegro,A-,Sura,1,9
9269148,1014007627,1999-09-06,Masculino,4,Guarne,O-,Salud Total,3,49
1365266,1081223813,2005-08-01,Masculino,6,Marinilla,AB+,Coosalud,7,121
9044126,1056674998,1997-11-22,Femenino,4,La Union,A-,Sanitas,9,148
8275688,1095401628,2002-11-18,Masculino,2,El Carmen de Viboral,B+,Coosalud,5,77
6065972,1058056159,1998-04-14,Masculino,2,El Retiro,AB-,Sanitas,8,124
4382750,1017933170,2008-08-16,Femenino,3,El Carmen de Viboral,AB+,Sura,10,170
8003115,1029188166,2001-12-23,Masculino,6,Abejorral,A+,Salud Total,4,65
3018732,1037909216,2003-06-20,Femenino,4,Marinilla,O-,Sanitas,8,126
1309780,1067161355,2007-05-16,Femenino,6,La Ceja,A+,Sura,1,10
7470801,1067660187,2003-09-27,Masculino,6,La Union,A-,Savia Salud,1,5
9520374,1012988180,2006-11-19,Masculino,2,La Ceja,AB+,Nueva EPS,6,96
9177876,1050376258,2002-12-23,Femenino,4,Rionegro,AB+,Savia Salud,9,145
4547075,1022915166,1993-04-08,Femenino,1,Santuario,AB+,Sura,1,19
3750527,1025157942,2005-09-21,Femenino,6,La Union,B-,Sanitas,2,21
7312623,1067452570,2005-02-06,Femenino,2,El Carmen de Viboral,O+,Nueva EPS,1,3
6640845,1057126035,1996-10-26,Masculino,4,La Ceja,O+,Salud Total,7,106
1321642,1024527479,2002-02-03,Masculino,2,Guarne,A+,Sanitas,2,32
2254665,1031101453,1995-02-25,Masculino,4,Guarne,A+,Coosalud,9,146
7385968,1011511292,2002-05-18,Masculino,5,Abejorral,AB+,Savia Salud,1,9
2122902,1081813698,2000-04-18,Femenino,1,Santuario,AB-,Sura,5,78
6051629,1044091082,2001-11-23,Femenino,6,El Retiro,B+,Sura,4,63
8539061,1045112351,2001-01-15,Femenino,5,El Retiro,AB-,Savia Salud,7,103
6286520,1023999645,2004-07-03,Femenino,3,La Ceja,O+,Coosalud,1,9
3094820,1045791214,1993-07-21,No binario,1,El Carmen de Viboral,AB+,Sura,1,16
4813047,1065808600,2008-03-27,Masculino,2,La Union,B+,Sanitas,6,94
5593004,1065735934,2001-07-08,Masculino,3,La Union,B-,Salud Total,3,47
4285471,1092069046,1997-03-27,Femenino,1,Guarne,O+,Salud Total,5,74
1896167,1091167498,2006-05-04,Masculino,2,La Union,A-,Coosalud,9,139
3077432,1023152867,2002-06-04,No binario,4,Marinilla,AB-,Nueva EPS,8,142
3698530,1053735622,1997-08-11,Masculino,4,El Carmen de Viboral,B+,Savia Salud,2,35
3488374,1099821448,1994-09-21,Femenino,4,Santuario,B-,Savia Salud,10,159
3585808,1048064353,1999-08-03,Femenino,6,Santuario,O-,Salud Total,9,154
6292663,1021220708,2007-12-01,Masculino,5,Marinilla,AB-,Sanitas,4,55
9363288,1061868555,2008-06-23,Masculino,2,La Union,O+,Nueva EPS,9,143
8947361,1028328277,2006-08-07,Masculino,1,La Union,A+,Salud Total,4,54
2823708,1044017401,1991-10-31,Femenino,1,Santuario,A-,Salud Total,6,89
8935200,1051799702,1997-01-10,Femenino,5,La Union,B+,Coosalud,2,25
4173913,1020217801,1992-06-29,Masculino,3,La Ceja,B+,Sura,2,26
8984950,1013603179,2001-08-16,Femenino,6,Abejorral,O-,Coosalud,6,90
3969448,1036561633,1996-10-04,Masculino,2,Marinilla,A-,Coosalud,1,17
6757499,1082351734,2003-11-08,Masculino,2,Abejorral,O+,Salud Total,2,22
2176222,1067172830,2002-08-23,Masculino,5,Abejorral,AB-,Nueva EPS,9,159
8719231,1069667961,2008-11-14,Masculino,2,Marinilla,B+,Salud Total,1,10
8464824,1032776299,2009-01-13,Masculino,4,La Ceja,B-,Savia Salud,6,93
8111833,1014509596,2008-11-13,Masculino,6,Rionegro,A-,Savia Salud,10,170
2815096,1025125802,1996-07-10,Masculino,5,Guarne,A-,Nueva EPS,4,73
6760118,1048528148,1996-06-14,Femenino,6,Rionegro,AB+,Savia Salud,10,164
4289834,1085027051,1998-07-16,Femenino,4,La Ceja,AB+,Nueva EPS,10,160
7759388,1042476193,2006-02-14,Masculino,6,Rionegro,A+,Nueva EPS,4,53
2015958,1021692579,2003-06-15,Masculino,3,El Retiro,A+,Savia Salud,2,21
6906956,1011078796,2006-06-19,Femenino,6,Rionegro,A+,Nueva EPS,10,170
9236926,1044856650,1997-02-03,Femenino,3,El Carmen de Viboral,AB+,Salud Total,6,85
3599767,1042285457,1997-05-30,No binario,1,La Union,AB+,Nueva EPS,10,163
4782642,1082357797,2001-09-22,Femenino,4,La Union,AB-,Nueva EPS,6,101
2236715,1030200540,1998-09-12,Femenino,3,Guarne,A+,Salud Total,5,84
8815390,1073679726,2008-03-18,Femenino,3,Marinilla,A+,Sanitas,10,165
7443026,1041789053,2000-03-03,Femenino,6,La Union,O-,Sanitas,6,94
4420084,1033426703,1997-10-07,Femenino,1,El Carmen de Viboral,AB-,Sanitas,3,45
